C11,C21,C31,C12,C22,C32,C13,C23,C33,dens
0.18056594,0.034457119,-2.2944876e-13,0.034457119,0.33802308,2.3103448e-14,-2.2934247e-13,2.2591195e-14,0.019128986,0.4768
0.18056594,0.034457119,-2.2924346e-13,0.034457119,0.33802308,2.178631e-14,-2.294547e-13,2.1725252e-14,0.019128986,0.4768
0.18056594,0.034457122,-2.2948955e-13,0.034457122,0.3380231,2.2225709e-14,-2.2923745e-13,2.2525924e-14,0.019128987,0.4768
0.18056637,0.034457382,-2.2948588e-13,0.034457382,0.33802503,2.310684e-14,-2.2962497e-13,2.3218939e-14,0.019129107,0.4768
0.18060745,0.034482493,-2.3233226e-13,0.034482493,0.33821119,4.455316e-14,-2.325194e-13,4.4890948e-14,0.019140671,0.4768
0.18407467,0.036517389,-4.6800743e-13,0.036517389,0.35320978,2.0750603e-12,-4.6817153e-13,2.0753729e-12,0.02007991,0.4864
0.24382125,0.05968793,-5.0890027e-13,0.05968793,0.59003397,3.2728172e-12,-5.0894856e-13,3.2738763e-12,0.043139128,0.6688
0.69117716,0.21231458,9.5096183e-14,0.21231458,0.91765771,2.0565484e-13,9.3775617e-14,2.0549726e-13,0.2521318,0.8992
1.0935081,0.32806172,2.5697917e-14,0.32806172,1.0938857,2.5817624e-14,2.6637566e-14,2.4734804e-14,0.3827324,1
1.0989005,0.32967014,2.6119467e-14,0.32967014,1.0989005,2.504749e-14,2.6621782e-14,2.561726e-14,0.38461516,1
1.0989011,0.32967033,2.6630864e-14,0.32967033,1.0989011,2.6159541e-14,2.6140923e-14,2.527532e-14,0.38461538,1
1.0989011,0.32967033,2.5591481e-14,0.32967033,1.0989011,2.6216807e-14,2.5256974e-14,2.6535082e-14,0.38461538,1
1.0989011,0.32967033,2.6011831e-14,0.32967033,1.0989011,2.6674796e-14,2.5387968e-14,2.8851728e-14,0.38461538,1
1.0989011,0.32967033,2.6011831e-14,0.32967033,1.0989011,2.6674796e-14,2.5387968e-14,2.8851728e-14,0.38461538,1
0.31238172,0.091525149,-7.0430329e-13,0.091525149,0.45009976,-3.6286074e-12,-7.0420577e-13,-3.6294476e-12,0.066530686,0.6128
0.31238172,0.091525149,-7.0448792e-13,0.091525149,0.45009976,-3.6297261e-12,-7.0421121e-13,-3.6296565e-12,0.066530686,0.6128
