C11,C21,C31,C12,C22,C32,C13,C23,C33,dens
3.5200386e-09,1.0460133e-09,5.2606713e-15,1.0460134e-09,0.22011141,6.1573778e-15,5.2620885e-15,4.6522086e-15,1.2375999e-09,0.2112
3.8292115e-09,1.1084797e-09,6.3970929e-15,1.1084797e-09,0.24597479,5.7399428e-15,6.6609524e-15,6.6794194e-15,1.3606337e-09,0.2512
4.430808e-09,1.2491677e-09,8.9224264e-15,1.2491684e-09,0.30142078,7.1681419e-15,9.2164263e-15,9.0202659e-15,1.5839222e-09,0.3216
5.3345811e-09,1.4957861e-09,1.1153563e-14,1.4957875e-09,0.38227914,1.0396631e-14,1.0995635e-14,1.0384181e-14,1.9116381e-09,0.4032
6.7196479e-09,1.8745108e-09,1.3959611e-14,1.8745114e-09,0.46526632,1.2490166e-14,1.3261814e-14,1.2573803e-14,2.4147261e-09,0.4848
9.1419529e-09,2.5309263e-09,1.4401287e-14,2.5309274e-09,0.54795199,1.2471011e-14,1.7000572e-14,1.441295e-14,3.296582e-09,0.5696
1.482313e-08,4.0771856e-09,1.6416919e-14,4.077186e-09,0.63056093,1.9405995e-14,1.6871713e-14,1.4690027e-14,5.3709829e-09,0.6528
2.9761985e-07,8.612617e-08,2.0023973e-14,8.6126169e-08,0.71321755,1.9418631e-14,1.7536838e-14,1.908721e-14,1.0158967e-07,0.736
0.0025333122,0.00080576919,2.1636024e-14,0.00080576919,0.79623717,2.1039537e-14,2.1716349e-14,2.3039799e-14,0.00086047271,0.8192
0.40099471,0.13296758,2.2520573e-14,0.13296758,0.92300634,2.1806138e-14,2.3200388e-14,2.2990725e-14,0.18770075,0.9008
0.82257954,0.25720305,2.4910208e-14,0.25720305,1.0335525,2.5337799e-14,2.4936676e-14,2.4996309e-14,0.32223422,0.9648
1.0899041,0.32717843,2.5806247e-14,0.32717843,1.0933848,2.5736787e-14,2.5728934e-14,2.6165508e-14,0.38180563,0.9968
